,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Positive,Facilities,Predicted
0,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Positive,Facilities,0
1,Isle of Man,Standard Room,1,June 2019,Couple," Great sized room, big comfy bed. Very helpful staff and so friendly. Brill location, which gave us extra time to relax before going for a flight.",10.0,Loved our short stay and would highly recommend and will return again.,1,comfort,1
2,Isle of Man,Standard Room,1,June 2019,Couple," Great sized room, big comfy bed. Very helpful staff and so friendly. Brill location, which gave us extra time to relax before going for a flight.",10.0,Loved our short stay and would highly recommend and will return again.,1,bed,1
3,Isle of Man,Standard Room,1,June 2019,Couple," Great sized room, big comfy bed. Very helpful staff and so friendly. Brill location, which gave us extra time to relax before going for a flight.",10.0,Loved our short stay and would highly recommend and will return again.,1,staff,1
4,Isle of Man,Standard Room,1,June 2019,Couple," Great sized room, big comfy bed. Very helpful staff and so friendly. Brill location, which gave us extra time to relax before going for a flight.",10.0,Loved our short stay and would highly recommend and will return again.,1,location,1
5,Ireland,Standard Room,1,March 2021,Family, Room with the view of the runway,10.0,Fantastic hotel ... loved the closed walkway to the airport as it was raining in the morning,1,location,0
6,Ireland,Standard Room,1,March 2021,Couple," Loved the room, fast room service and prompt responses 
Cleanliness and Hygiene - 100% 
Over all - amazing stay 
Was staying over to catch an early morning flight, love the connection from the hotel to manchester airport",9.0,Wonderful,1,staff,1
7,Ireland,Standard Room,1,March 2021,Couple," Loved the room, fast room service and prompt responses 
Cleanliness and Hygiene - 100% 
Over all - amazing stay 
Was staying over to catch an early morning flight, love the connection from the hotel to manchester airport",9.0,Wonderful,1,dirty,1
8,Ireland,Standard Room,1,March 2021,Couple," Loved the room, fast room service and prompt responses 
Cleanliness and Hygiene - 100% 
Over all - amazing stay 
Was staying over to catch an early morning flight, love the connection from the hotel to manchester airport",9.0,Wonderful,1,location,1
9,United Kingdom,Standard Room,1,March 2021,Couple, Comfortable and great location,9.0,Wonderful,1,comfort,1
10,United Kingdom,Standard Room,1,March 2021,Couple, Comfortable and great location,9.0,Wonderful,1,location,1
11,United Kingdom,Superior Room with Runway View,1,March 2021,Couple, room was lovely and clean,8.0,was ok served a purpose,1,dirty,1
