Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Positive,Facilities,Predicted
Saudi Arabia,Standard Room,4,July 2019,Couple, Location great. Stafs are freindly and services are super.fast check in/out,10.0,Exceptional,1,location,0
Saudi Arabia,Standard Room,4,July 2019,Couple, Location great. Stafs are freindly and services are super.fast check in/out,10.0,Exceptional,1,staff,0
United Kingdom,Junior Suite,2,March 2021,Couple," We were travelling for a medical procedure in a nearby clinic. The thing that stands out most was how lovely the staff were, nothing was too much trouble.  The room was perfect with everything you could need. The WiFi was good.",8.0,"Would love to visit the hotel and city again, when things get back to normal",1,location,0
United Kingdom,Junior Suite,2,March 2021,Couple," We were travelling for a medical procedure in a nearby clinic. The thing that stands out most was how lovely the staff were, nothing was too much trouble.  The room was perfect with everything you could need. The WiFi was good.",8.0,"Would love to visit the hotel and city again, when things get back to normal",1,staff,0
United Kingdom,Junior Suite,2,March 2021,Couple," We were travelling for a medical procedure in a nearby clinic. The thing that stands out most was how lovely the staff were, nothing was too much trouble.  The room was perfect with everything you could need. The WiFi was good.",8.0,"Would love to visit the hotel and city again, when things get back to normal",1,internet,0
United Kingdom,Junior Suite,1,February 2021,Couple, Very friendly and helpful font desk staff,8.0,Excellant given lockdown issues,1,staff,0
United Kingdom,Standard Room,1,February 2021,Group, All was great very pleasant reception staff a very nice stay all round,10.0,Very nice and will recommend to anyone looking for a hotel to stay in Glasgow,1,noisiness,0
United Kingdom,Standard Room,1,February 2021,Group, All was great very pleasant reception staff a very nice stay all round,10.0,Very nice and will recommend to anyone looking for a hotel to stay in Glasgow,1,staff,0
United Kingdom,Standard Room,1,February 2021,Solo traveler," Everything is perfect and excellent 
Very clean and calm
The stuff were very helpful",10.0,Excellent!,1,dirty,0
United Kingdom,Standard Room,1,February 2021,Solo traveler," Everything is perfect and excellent 
Very clean and calm
The stuff were very helpful",10.0,Excellent!,1,noisiness,0
United Kingdom,Standard Room,1,February 2021,Solo traveler," Everything is perfect and excellent 
Very clean and calm
The stuff were very helpful",10.0,Excellent!,1,staff,0
United Kingdom,Standard Room,2,January 2021,Solo traveler," Breakfast ok. Location good. Hotel simple, comfortable, you always know what to get.",8.0,Comfortable. What I expected.  Worst thing that can happen when travelling is to not get what you ex,1,food/drink,0
United Kingdom,Standard Room,2,January 2021,Solo traveler," Breakfast ok. Location good. Hotel simple, comfortable, you always know what to get.",8.0,Comfortable. What I expected.  Worst thing that can happen when travelling is to not get what you ex,1,location,0
United Kingdom,Standard Room,2,January 2021,Solo traveler," Breakfast ok. Location good. Hotel simple, comfortable, you always know what to get.",8.0,Comfortable. What I expected.  Worst thing that can happen when travelling is to not get what you ex,1,comfort,0
United Kingdom,Standard Room,2,January 2021,Family," The customer service from the Radisson staff was exceptional, they could not do enough for us. I booked to stay with my young daughter and we had some specific needs for our stay, but nothing was a problem. The communication in the lead up to our stay was excellent, so I knew everything was sorted and I did not need to worry. Our room was beautiful (received a free upgrade), very spacious and immaculate. The hotel is in a central location too, which was important for us. In those very strange times, when Glasgow was in lockdown, we had a very pleasant stay. Highly recommend, would definitely stay again.",10.0,"Excellent service, lovely hotel",1,staff,0
United Kingdom,Standard Room,2,January 2021,Family," The customer service from the Radisson staff was exceptional, they could not do enough for us. I booked to stay with my young daughter and we had some specific needs for our stay, but nothing was a problem. The communication in the lead up to our stay was excellent, so I knew everything was sorted and I did not need to worry. Our room was beautiful (received a free upgrade), very spacious and immaculate. The hotel is in a central location too, which was important for us. In those very strange times, when Glasgow was in lockdown, we had a very pleasant stay. Highly recommend, would definitely stay again.",10.0,"Excellent service, lovely hotel",1,location,0
United Kingdom,Standard Room,2,January 2021,Family," The customer service from the Radisson staff was exceptional, they could not do enough for us. I booked to stay with my young daughter and we had some specific needs for our stay, but nothing was a problem. The communication in the lead up to our stay was excellent, so I knew everything was sorted and I did not need to worry. Our room was beautiful (received a free upgrade), very spacious and immaculate. The hotel is in a central location too, which was important for us. In those very strange times, when Glasgow was in lockdown, we had a very pleasant stay. Highly recommend, would definitely stay again.",10.0,"Excellent service, lovely hotel",1,noisiness,0
United Kingdom,Standard Room,1,December 2020,Couple," The staff were really helpful and went above and beyond to make our stay enjoyable,",10.0,Great hotel with excellent staff,1,staff,0
United Kingdom,Family Room,2,December 2020,Family," Given the current situation the hotel was well organised , super clean and staff ( Lee) was lovely .
Breakfast was good and tea and coffee facilities excellent.Location was as expected very handy for main shopping , restaurants etc.",10.0,"Enjoyable, relaxing good value for money.",1,dirty,0
United Kingdom,Family Room,2,December 2020,Family," Given the current situation the hotel was well organised , super clean and staff ( Lee) was lovely .
Breakfast was good and tea and coffee facilities excellent.Location was as expected very handy for main shopping , restaurants etc.",10.0,"Enjoyable, relaxing good value for money.",1,staff,0
United Kingdom,Family Room,2,December 2020,Family," Given the current situation the hotel was well organised , super clean and staff ( Lee) was lovely .
Breakfast was good and tea and coffee facilities excellent.Location was as expected very handy for main shopping , restaurants etc.",10.0,"Enjoyable, relaxing good value for money.",1,food/drink,0
United Kingdom,Family Room,2,December 2020,Family," Given the current situation the hotel was well organised , super clean and staff ( Lee) was lovely .
Breakfast was good and tea and coffee facilities excellent.Location was as expected very handy for main shopping , restaurants etc.",10.0,"Enjoyable, relaxing good value for money.",1,location,0
United Kingdom,Family Room,2,December 2020,Family," Given the current situation the hotel was well organised , super clean and staff ( Lee) was lovely .
Breakfast was good and tea and coffee facilities excellent.Location was as expected very handy for main shopping , restaurants etc.",10.0,"Enjoyable, relaxing good value for money.",1,restaurant,0
United Kingdom,Standard Room,1,November 2020,Solo traveler, The room was very comfortable especially the bed.,8.0,Very Good,1,comfort,0
United Kingdom,Standard Room,1,November 2020,Solo traveler, The room was very comfortable especially the bed.,8.0,Very Good,1,bed,0
United Kingdom,Junior Suite,1,December 2020,Couple," Had a lovely breakfast,location was great.",10.0,"The hotel is beautiful , staff are very friendly  and helpful. Will be back.",1,food/drink,0
United Kingdom,Junior Suite,1,December 2020,Couple," Had a lovely breakfast,location was great.",10.0,"The hotel is beautiful , staff are very friendly  and helpful. Will be back.",1,location,0
United Kingdom,Standard Room,7,December 2020,Solo traveler," The room was great, the staff were fantastic",8.0,Exerlent,1,staff,0
United Kingdom,Premium Room,1,December 2020,Couple," Great location, staff are really happy to help, nothing is any hassle",10.0,Fantastic hotel,1,location,0
United Kingdom,Premium Room,1,December 2020,Couple," Great location, staff are really happy to help, nothing is any hassle",10.0,Fantastic hotel,1,staff,0
United Kingdom,Standard Room,2,December 2020,Couple," Bed very comfortable
Breakfast in bag due to C19",8.0,Staff very helpful and pleasant,1,bed,0
United Kingdom,Standard Room,2,December 2020,Couple," Bed very comfortable
Breakfast in bag due to C19",8.0,Staff very helpful and pleasant,1,comfort,0
United Kingdom,Standard Room,2,December 2020,Couple," Bed very comfortable
Breakfast in bag due to C19",8.0,Staff very helpful and pleasant,1,food/drink,0
United Kingdom,Premium Room,2,September 2020,Group," We upgraded to a Premium room when i booked which actually worked out cheaper as i have the Genius discount. It was lovely, bathrobes, slippers a nespresso machine, all the bathroom necessities and more! The staff were lovely and welcoming especially in these uncertain times and the hotel was absolutely spotless for the 2 days we stayed. Would definitely recommend staying here and will definitely book again.",10.0,Brilliant. Lovely comfy stylish hotel with beautiful rooms and in excellent location.,1,price,0
United Kingdom,Premium Room,2,September 2020,Group," We upgraded to a Premium room when i booked which actually worked out cheaper as i have the Genius discount. It was lovely, bathrobes, slippers a nespresso machine, all the bathroom necessities and more! The staff were lovely and welcoming especially in these uncertain times and the hotel was absolutely spotless for the 2 days we stayed. Would definitely recommend staying here and will definitely book again.",10.0,Brilliant. Lovely comfy stylish hotel with beautiful rooms and in excellent location.,1,bathroom,0
United Kingdom,Premium Room,2,September 2020,Group," We upgraded to a Premium room when i booked which actually worked out cheaper as i have the Genius discount. It was lovely, bathrobes, slippers a nespresso machine, all the bathroom necessities and more! The staff were lovely and welcoming especially in these uncertain times and the hotel was absolutely spotless for the 2 days we stayed. Would definitely recommend staying here and will definitely book again.",10.0,Brilliant. Lovely comfy stylish hotel with beautiful rooms and in excellent location.,1,staff,0
United Kingdom,Standard Room,3,November 2020,Couple," Food was excellent, staff were very, very helpful and polite. Went out our their way to accommodate our needs. 10/10",10.0,Exceptional,1,food/drink,0
United Kingdom,Standard Room,3,November 2020,Couple," Food was excellent, staff were very, very helpful and polite. Went out our their way to accommodate our needs. 10/10",10.0,Exceptional,1,staff,0
United Kingdom,Standard Room,1,November 2020,Couple, Staff were amazing and really made our stay that much better. 10/10,10.0,Exceptional,1,staff,0
United Kingdom,Standard Room,1,November 2020,Couple," The Staff, The Staff and The Staff",8.0,Very Good,1,staff,0
United Kingdom,Standard Room,1,October 2020,Couple, Staff were very pleasant and accommodating,10.0,Exceptional,1,staff,0
United Kingdom,Standard Room,1,October 2020,Couple, Staff were very pleasant and accommodating,10.0,Exceptional,1,noisiness,0
United Kingdom,Standard Room,1,October 2020,Family, exceptionally friendly staff; great room service; really comfortable bed and lovely bathroom,9.0,"great location, great staff who went the extra mile, nice to be in Glasgow",1,staff,0
United Kingdom,Standard Room,1,October 2020,Family, exceptionally friendly staff; great room service; really comfortable bed and lovely bathroom,9.0,"great location, great staff who went the extra mile, nice to be in Glasgow",1,comfort,0
United Kingdom,Standard Room,1,October 2020,Family, exceptionally friendly staff; great room service; really comfortable bed and lovely bathroom,9.0,"great location, great staff who went the extra mile, nice to be in Glasgow",1,bed,0
United Kingdom,Standard Room,1,October 2020,Family, exceptionally friendly staff; great room service; really comfortable bed and lovely bathroom,9.0,"great location, great staff who went the extra mile, nice to be in Glasgow",1,bathroom,0
United Kingdom,Standard Room,1,November 2020,Family, The room fantastic able to get movies on TV  for the children,10.0,Exceptional,1,tv,0
United Kingdom,Standard Room,1,September 2020,Family," Very efficient staff
Ultra clean 
Great value",9.0,Wonderful,1,staff,0
United Kingdom,Standard Room,1,September 2020,Family," Very efficient staff
Ultra clean 
Great value",9.0,Wonderful,1,dirty,0
United Kingdom,Standard Room,1,September 2020,Family," Very efficient staff
Ultra clean 
Great value",9.0,Wonderful,1,price,0
United Kingdom,Standard Room,1,November 2020,Couple, The staff were very friendly and helpful. The food was excellent. The room decor and surrounding areas were beautiful. We would definitely return here soon.,10.0,Radisson blu Glasgow,1,staff,0
United Kingdom,Standard Room,1,November 2020,Couple, The staff were very friendly and helpful. The food was excellent. The room decor and surrounding areas were beautiful. We would definitely return here soon.,10.0,Radisson blu Glasgow,1,food/drink,0
United Kingdom,Standard Room,1,November 2020,Couple, The staff were very friendly and helpful. The food was excellent. The room decor and surrounding areas were beautiful. We would definitely return here soon.,10.0,Radisson blu Glasgow,1,comfort,0
United Kingdom,Standard Room,1,November 2020,Couple, The staff were very friendly and helpful. The food was excellent. The room decor and surrounding areas were beautiful. We would definitely return here soon.,10.0,Radisson blu Glasgow,1,location,1
United Kingdom,Standard Room,1,October 2020,Couple, Everyone was helpful and attentive,9.0,First class stay,1,staff,0
United Kingdom,Corner Suite,1,October 2020,Family, Ryan on reception can’t do enough for you on arrival,10.0,Great stay,1,staff,0
United Kingdom,Standard Room,1,September 2020,Couple, Wasn’t over impressed by the restaurant average food,10.0,Excellent room great location for,1,restaurant,0
United Kingdom,Standard Room,1,September 2020,Couple, Wasn’t over impressed by the restaurant average food,10.0,Excellent room great location for,1,food/drink,0
United Kingdom,Standard Room,1,October 2020,Couple, The friendly welcoming staff and the assistance,10.0,Exceptional,1,staff,0
United Kingdom,Corner Suite,1,October 2020,Couple," No complaints at all.. from the staff to the room, to the breakfast all amazing 👏",10.0,"No complaints at all.. from the staff to the room, to the breakfast all amazing 👏",1,staff,0
United Kingdom,Corner Suite,1,October 2020,Couple," No complaints at all.. from the staff to the room, to the breakfast all amazing 👏",10.0,"No complaints at all.. from the staff to the room, to the breakfast all amazing 👏",1,food/drink,0
United Kingdom,Standard Room,1,September 2020,Couple, Handy location next to central station. Staff were pleasant and overall it was great value for money. The options at breakfast were fantastic.,9.0,Wonderful,1,location,0
United Kingdom,Standard Room,1,September 2020,Couple, Handy location next to central station. Staff were pleasant and overall it was great value for money. The options at breakfast were fantastic.,9.0,Wonderful,1,staff,0
United Kingdom,Standard Room,1,September 2020,Couple, Handy location next to central station. Staff were pleasant and overall it was great value for money. The options at breakfast were fantastic.,9.0,Wonderful,1,noisiness,0
United Kingdom,Standard Room,1,September 2020,Couple, Handy location next to central station. Staff were pleasant and overall it was great value for money. The options at breakfast were fantastic.,9.0,Wonderful,1,price,0
United Kingdom,Standard Room,1,September 2020,Couple, Handy location next to central station. Staff were pleasant and overall it was great value for money. The options at breakfast were fantastic.,9.0,Wonderful,1,food/drink,0
United Kingdom,Standard Room,1,September 2020,Couple," Breakfast was lovely ,as were all the staff",8.0,Lovely nights stop off,1,food/drink,0
United Kingdom,Standard Room,1,September 2020,Couple," Breakfast was lovely ,as were all the staff",8.0,Lovely nights stop off,1,staff,0
United Kingdom,Standard Room,1,October 2020,Family, Ryan the man on reception was lovely,10.0,Exceptional,1,staff,1
United Kingdom,Standard Room,1,October 2020,Couple," Friendly staff, very spacious building and room :)",10.0,Amazing,1,staff,0
United Kingdom,Superior Room,1,September 2020,Solo traveler," The staff were excellent.
Breakfast was good.
Dinner was good.
Room was good.",8.0,Very Good,1,staff,0
United Kingdom,Superior Room,1,September 2020,Solo traveler," The staff were excellent.
Breakfast was good.
Dinner was good.
Room was good.",8.0,Very Good,1,food/drink,0
United Kingdom,Corner Suite,1,October 2020,Family, Room excellent and very clean. Staff brilliant so friendly and helpful. Amazing pizza on room service! Would love to go back Xox,9.0,Corner suite,1,dirty,0
United Kingdom,Corner Suite,1,October 2020,Family, Room excellent and very clean. Staff brilliant so friendly and helpful. Amazing pizza on room service! Would love to go back Xox,9.0,Corner suite,1,staff,0
United Kingdom,Standard Room,1,September 2020,Family, Great location really friendly staff.  We needed adjoining rooms which wasn’t a problem and really handy for the kids.  Communication with the hotel to arrange this was great and our stay was perfect.  Will be returning again next week for our first wedding anniversary and looking forward to it.,10.0,Exceptional,1,location,0
United Kingdom,Standard Room,1,September 2020,Family, Great location really friendly staff.  We needed adjoining rooms which wasn’t a problem and really handy for the kids.  Communication with the hotel to arrange this was great and our stay was perfect.  Will be returning again next week for our first wedding anniversary and looking forward to it.,10.0,Exceptional,1,staff,0
United Kingdom,Standard Room,1,October 2020,Solo traveler, The service is second to non,10.0,Great staff lovely hotel,1,staff,0
Jersey,Standard Room,3,October 2020,Family," Room only. We were attending a family funeral and, in these difficult times, the assistance of the reception staff in particular in arranging transportation etc, was invaluable and much appreciated.",10.0,"Sadly, our stay was in order to attend a family funeral but the hotel staff were excellent.",1,staff,0
United Kingdom,Standard Room,1,October 2020,Couple," Staff at breakfast so attentive and breakfast exceeded expectations, all in all a wonderful experience",10.0,Amazingly wonderful,1,staff,0
United Kingdom,Standard Room,1,October 2020,Couple," Staff at breakfast so attentive and breakfast exceeded expectations, all in all a wonderful experience",10.0,Amazingly wonderful,1,food/drink,0
United Kingdom,Standard Room,1,October 2020,Couple," Great hotel, great location, staff very welcoming, Russell and a Marie in particular.",10.0,Great!,1,location,0
United Kingdom,Standard Room,1,October 2020,Couple," Great hotel, great location, staff very welcoming, Russell and a Marie in particular.",10.0,Great!,1,staff,1
United Kingdom,Standard Room,1,October 2020,Couple, The room was spacious and clean,9.0,Great night away in lovely room,1,dirty,0
United Kingdom,Standard Room,1,October 2020,Couple," Location was perfect, close to shops and bars. Very clean with friendly staff.",9.0,Perfect no complaints,1,location,0
United Kingdom,Standard Room,1,October 2020,Couple," Location was perfect, close to shops and bars. Very clean with friendly staff.",9.0,Perfect no complaints,1,restaurant,0
United Kingdom,Standard Room,1,October 2020,Couple," Location was perfect, close to shops and bars. Very clean with friendly staff.",9.0,Perfect no complaints,1,dirty,0
United Kingdom,Standard Room,1,October 2020,Couple," Location was perfect, close to shops and bars. Very clean with friendly staff.",9.0,Perfect no complaints,1,staff,0
United Kingdom,Junior Suite,1,October 2020,Solo traveler, The hotel was in a great location and my room was clean and had a great view. The measures taken to keep staff and guests safe were excellent. The staff were very friendly and helpful. The bar lady Laura was very welcoming and had a great knowledge regarding whiskies. Definitely happy to stay there again.,8.0,Great Hotel,1,location,0
United Kingdom,Junior Suite,1,October 2020,Solo traveler, The hotel was in a great location and my room was clean and had a great view. The measures taken to keep staff and guests safe were excellent. The staff were very friendly and helpful. The bar lady Laura was very welcoming and had a great knowledge regarding whiskies. Definitely happy to stay there again.,8.0,Great Hotel,1,dirty,0
